,Layer,Mult,Pos,Average,Matching,Not Matching
295,28,-0.5,-3,0.5695502,0.29966146,0.26944292
296,28,-0.1,-3,0.5821293,0.3720947,0.30164924
297,28,0.0,-3,0.5831409,0.38425878,0.307647
298,28,0.1,-3,0.5836849,0.39455464,0.31304914
299,28,0.5,-3,0.58466166,0.4284611,0.33123767
300,28,1.0,-3,0.5877536,0.48175266,0.35401526
301,28,-1.0,-5,0.5609495,0.24874154,0.2416867
302,28,-0.5,-5,0.5771839,0.32938647,0.28067738
303,28,-0.1,-5,0.5827588,0.3755227,0.3030213
304,28,0.0,-5,0.5831409,0.38425878,0.307647
305,28,0.1,-5,0.5832568,0.39210674,0.31199187
306,28,0.5,-5,0.58241826,0.4182311,0.32737064
307,28,1.0,-5,0.5815222,0.45058903,0.34484866
308,28,-1.0,-10,0.5793309,0.32807645,0.27712893
309,28,-0.5,-10,0.58285105,0.36049846,0.29382628
310,28,-0.1,-10,0.58327657,0.38013512,0.3050746
311,28,0.0,-10,0.5831409,0.38425878,0.307647
312,28,0.1,-10,0.58293355,0.38810733,0.3101354
313,28,0.5,-10,0.5816021,0.40121746,0.31934908
314,28,1.0,-10,0.5794692,0.4143368,0.32958525
315,30,-1.0,-3,0.5567562,0.193077,0.19800974
316,30,-0.5,-3,0.57494026,0.2985724,0.26800472
317,30,-0.1,-3,0.5828109,0.37050802,0.30100927
318,30,0.0,-3,0.5831409,0.38425878,0.307647
319,30,0.1,-3,0.58307546,0.39664018,0.31390333
320,30,0.5,-3,0.58195585,0.43931115,0.33613425
321,30,1.0,-3,0.5834012,0.48830727,0.35895988
322,30,-1.0,-5,0.5699953,0.25211388,0.24211167
323,30,-0.5,-5,0.580308,0.32665405,0.28051984
324,30,-0.1,-5,0.58315134,0.37431827,0.30273086
325,30,0.0,-5,0.5831409,0.38425878,0.307647
326,30,0.1,-5,0.5829343,0.39353696,0.3123914
327,30,0.5,-5,0.5811975,0.42603484,0.3299946
328,30,1.0,-5,0.5795737,0.4616513,0.34936264
329,30,-1.0,-10,0.58353674,0.32593697,0.27750027
